story,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
11.0,2.0,1.0,1.5,1.5,1.5,1.5,2.0,2.0
12.0,1.33,1.5,1.83,1.67,1.67,2.0,1.83,1.83
13.0,0.43,1.43,0.86,1.29,0.86,1.14,1.43,2.0
14.0,1.33,2.0,2.0,2.0,1.0,2.0,1.75,2.0
21.0,0.5,1.0,1.0,1.5,2.0,0.5,2.0,2.0
22.0,0.71,1.43,1.29,1.43,0.29,0.43,1.43,1.0
23.0,1.14,0.86,0.86,1.14,1.71,1.0,2.0,2.0
24.0,1.25,1.5,0.75,0.5,1.25,1.75,2.0,2.0
31.0,1.0,0.29,0.71,1.71,0.43,0.86,1.0,1.71
32.0,1.33,0.67,1.33,1.0,2.0,1.33,1.33,0.67
33.0,0.67,1.33,1.33,2.0,2.0,1.0,1.33,1.33
34.0,0.57,0.57,0.71,1.43,1.0,2.0,0.86,1.14
41.0,0.78,1.0,1.67,1.78,1.89,1.78,1.78,1.44
42.0,1.33,1.0,1.0,0.33,1.33,2.0,1.67,2.0
43.0,1.0,1.0,1.33,2.0,0.33,0.0,1.33,1.33
44.0,0.4,1.2,1.0,1.2,1.6,1.8,1.4,1.0
