loc_p,soc_p
-0.7708333333333333,-0.6666666666666665
-0.30208333333333326,-1.0312499999999998
0.666666666666667,-0.1875
-1.2187499999999998,-1.0555555555555558
-0.8385416666666665,-0.7916666666666665
0.5416666666666667,-1.0052083333333333
-0.7569444444444443,-0.8611111111111112
-1.2083333333333335,-1.4791666666666667
-0.12499999999999978,-0.6388888888888888
-0.24305555555555536,-0.9375
0.40625,-0.048611111111110716
-0.6875,-1.125
0.08333333333333326,
0.8055555555555556,-0.6875
0.7708333333333335,-0.08333333333333326
-0.07291666666666652,-1.5625
